Date;Cumulative Cases;Cumulative Deaths;Hos;Q;R;Healthcare workers;Imported E1;Imported E2;Evacuated;Undetected Cumulative Deaths;Vaccinated;Vaccinated2;Vaccinated3
19-Jan-2020;0;0;0;0;0;0;2;0;0;0;0;0;0
20-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
21-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
22-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
23-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
24-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
25-Jan-2020;0;0;0;0;0;0;1;0;0;0;0;0;0
26-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
27-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
28-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
29-Jan-2020;0;0;0;0;0;0;0;0;0;0;0;0;0
30-Jan-2020;2;0;0;0;0;0;0;0;0;0;0;0;0
31-Jan-2020;2;0;0;0;0;0;0;0;0;0;0;0;0
01-Feb-2020;2;0;0;0;0;0;0;0;0;0;0;0;0
02-Feb-2020;2;0;0;0;0;0;0;0;0;0;0;0;0
03-Feb-2020;2;0;0;0;0;0;0;0;0;0;0;0;0
04-Feb-2020;2;0;0;0;0;0;0;0;0;0;0;0;0
05-Feb-2020;3;0;0;0;0;0;0;0;0;0;0;0;0
06-Feb-2020;3;0;0;0;0;0;0;0;0;0;0;0;0
07-Feb-2020;3;0;0;0;0;0;0;0;0;0;0;0;0
08-Feb-2020;7;0;0;0;0;0;0;0;0;0;0;0;0
09-Feb-2020;8;0;0;0;0;2;0;0;0;0;0;0;0
10-Feb-2020;8;0;0;0;0;0;0;0;0;0;0;0;0
11-Feb-2020;9;0;0;0;0;0;0;0;0;0;0;0;0
12-Feb-2020;9;0;0;0;1;0;0;0;0;0;0;0;0
13-Feb-2020;9;0;0;0;2;0;0;0;0;0;0;0;0
14-Feb-2020;9;0;0;0;3;0;0;0;0;0;0;0;0
15-Feb-2020;9;0;0;0;4;0;0;0;0;0;0;0;0
16-Feb-2020;9;0;0;0;12;3;0;0;0;0;0;0;0
17-Feb-2020;9;0;0;0;20;0;0;0;0;0;0;0;0
18-Feb-2020;9;0;0;0;28;0;0;0;0;0;0;0;0
19-Feb-2020;9;0;0;0;36;0;0;0;0;0;0;0;0
20-Feb-2020;9;0;0;0;44;0;0;0;0;0;0;0;0
21-Feb-2020;10;0;0;0;52;0;0;0;0;0;0;0;0
22-Feb-2020;10;0;0;0;60;0;0;0;0;0;0;0;0
23-Feb-2020;11;0;0;0;68;4;0;0;0;0;0;0;0
24-Feb-2020;13;0;0;0;76;0;0;0;0;0;0;0;0
25-Feb-2020;18;0;0;0;84;0;0;0;0;0;0;0;0
26-Feb-2020;22;0;0;0;92;0;0;0;0;0;0;0;0
27-Feb-2020;30;0;0;0;100;0;0;0;0;0;0;0;0
28-Feb-2020;42;0;0;0;108;0;0;0;0;0;0;0;0
29-Feb-2020;47;0;0;0;116;0;0;0;0;0;0;0;0
01-Mar-2020;69;0;0;0;124;16;0;0;0;0;0;0;0
02-Mar-2020;108;1;0;0;132;0;0;0;0;0;0;0;0
03-Mar-2020;164;3;0;0;140;0;0;0;0;0;0;0;0
04-Mar-2020;220;3;0;0;148;0;0;0;0;0;0;0;0
05-Mar-2020;270;6;0;0;156;0;0;0;0;0;0;0;0
06-Mar-2020;351;6;0;0;164;0;0;0;0;0;0;0;0
07-Mar-2020;419;6;0;0;182;0;0;0;0;0;0;0;0
08-Mar-2020;476;9;0;0;200;87;0;0;0;0;0;0;0
09-Mar-2020;623;14;0;0;218;0;0;0;0;0;0;0;0
10-Mar-2020;888;17;0;0;237;0;0;0;0;0;0;0;0
11-Mar-2020;1293;25;0;0;256;0;0;0;0;0;0;0;0
12-Mar-2020;1774;38;0;0;275;0;0;0;0;0;0;0;0
13-Mar-2020;2254;54;0;0;294;0;0;0;0;0;0;0;0
14-Mar-2020;2617;76;0;0;313;0;0;0;0;0;0;0;0
15-Mar-2020;3059;108;0;0;332;531;0;0;0;0;0;0;0
16-Mar-2020;3670;155;0;0;353;0;0;0;0;0;0;0;0
17-Mar-2020;4438;207;0;0;406;0;0;0;0;0;0;0;0
18-Mar-2020;5435;275;0;0;473;0;0;0;0;0;0;0;0
19-Mar-2020;6486;349;0;0;540;0;0;0;0;0;0;0;0
20-Mar-2020;7746;458;0;0;607;0;0;0;0;0;0;0;0
21-Mar-2020;8940;588;0;0;674;0;0;0;0;0;0;0;0
22-Mar-2020;10313;752;0;0;741;1809;0;0;0;0;0;0;0
23-Mar-2020;12637;938;0;1051;808;0;0;0;0;0;0;0;0
24-Mar-2020;15011;1175;0;654;948;0;0;0;0;0;0;0;0
25-Mar-2020;17702;1478;0;606;1088;0;0;0;0;0;0;0;0
26-Mar-2020;20793;1840;0;1162;1238;0;0;0;0;0;0;0;0
27-Mar-2020;23976;2238;7267;956;1389;0;0;0;0;0;0;0;0
28-Mar-2020;26791;2674;8278;624;1540;0;0;0;0;0;0;0;0
29-Mar-2020;29648;3180;9525;368;1691;5084;0;0;0;0;0;0;0
30-Mar-2020;33913;3771;11093;1075;1862;5654;0;0;0;0;0;0;0
31-Mar-2020;38428;4431;12597;1683;2041;6497;0;0;0;0;0;0;0
01-Apr-2020;43365;5200;13637;1372;2220;7605;0;0;0;0;0;0;0
02-Apr-2020;48223;6007;13875;1574;2412;8732;0;0;0;0;0;0;0
03-Apr-2020;53113;6847;15546;1960;2620;9844;0;0;0;0;0;0;0
04-Apr-2020;57116;7754;17502;1082;2835;10856;0;0;0;0;0;0;0
05-Apr-2020;60706;8671;18855;674;3064;12333;0;0;0;0;0;0;0
06-Apr-2020;65972;9566;19493;2220;3351;13434;0;0;0;0;0;0;0
07-Apr-2020;71403;10565;20234;2282;3676;14415;0;0;0;0;0;0;0
08-Apr-2020;76518;11640;20740;2148;4021;15887;0;0;0;0;0;0;0
09-Apr-2020;81373;12640;21005;2227;4380;17087;0;0;0;0;0;0;0
10-Apr-2020;85682;13584;21280;1846;4968;18637;0;0;0;0;0;0;0
11-Apr-2020;89243;14539;21254;1399;5590;20172;0;0;0;0;0;0;0
12-Apr-2020;92724;15497;21687;1415;6216;21900;0;0;0;0;0;0;0
13-Apr-2020;96893;16393;21308;2008;6520;23408;0;0;0;0;0;0;0
14-Apr-2020;101190;17251;21281;2209;6843;25086;0;0;0;0;0;0;0
15-Apr-2020;106228;18129;20582;3158;7211;26514;0;0;0;0;0;0;0
16-Apr-2020;111502;18973;20389;3263;7586;27922;0;0;0;0;0;0;0
17-Apr-2020;116437;19791;19330;2969;7980;0;0;0;0;0;0;0;0
18-Apr-2020;121143;20591;19456;3077;8394;0;0;0;0;0;0;0;0
19-Apr-2020;124997;21359;19574;2197;8830;0;0;0;0;0;0;0;0
20-Apr-2020;129841;22142;19331;3107;9276;0;0;0;0;0;0;0;0
21-Apr-2020;134607;22886;19139;3053;9914;0;0;0;0;0;0;0;0
22-Apr-2020;140097;23617;18533;3963;10597;0;0;0;0;0;0;0;0
23-Apr-2020;145233;24294;17867;3623;11309;31436;0;0;0;0;0;0;0
24-Apr-2020;150181;24977;17063;3423;12033;0;0;0;0;0;0;0;0
25-Apr-2020;153923;25624;16604;2487;12807;0;0;0;0;0;0;0;0
26-Apr-2020;157394;26257;16555;2116;13585;0;0;0;0;0;0;0;0
27-Apr-2020;162089;26852;16662;3157;14392;0;0;0;0;0;0;0;0
28-Apr-2020;166805;27412;15877;3199;15205;0;0;0;0;0;0;0;0
29-Apr-2020;172230;27984;15521;3936;16062;0;0;0;0;0;0;0;0
30-Apr-2020;177184;28535;15164;3511;16921;34060;0;0;0;0;0;0;0
01-May-2020;181911;29103;14723;3465;17813;0;0;0;0;0;0;0;0
02-May-2020;185136;29597;14380;2045;18709;0;0;0;0;0;0;0;0
03-May-2020;188116;30047;14188;1792;19610;0;0;0;0;0;0;0;0
04-May-2020;191496;30531;14097;2130;20520;0;0;0;0;0;0;0;0
05-May-2020;195170;30996;13723;2528;21446;0;0;0;0;0;0;0;0
06-May-2020;198987;31455;13148;2611;22380;0;0;0;0;0;0;0;0
07-May-2020;202752;31916;12626;2601;23350;35811;0;0;0;0;0;0;0
08-May-2020;205810;32299;12053;2148;24347;0;0;0;0;0;0;0;0
09-May-2020;207972;32677;12021;1219;25348;0;0;0;0;0;0;0;0
10-May-2020;210292;33025;11727;1405;26350;0;0;0;0;0;0;0;0
11-May-2020;213861;33334;11967;2540;27365;0;0;0;0;0;0;0;0
12-May-2020;217252;33655;11591;2408;28388;0;0;0;0;0;0;0;0
13-May-2020;220562;33972;11342;2344;29420;0;0;0;0;0;0;0;0
14-May-2020;223186;34306;10921;1715;30463;37109;0;0;0;0;0;0;0
15-May-2020;225714;34620;10691;1657;31510;0;0;0;0;0;0;0;0
16-May-2020;227792;34934;10238;1265;32568;0;0;0;0;0;0;0;0
17-May-2020;229626;35201;10199;1042;33626;0;0;0;0;0;0;0;0
18-May-2020;232210;35494;10231;1736;34716;0;0;0;0;0;0;0;0
19-May-2020;235262;35769;10013;2171;35815;0;0;0;0;0;0;0;0
20-May-2020;237962;36037;9563;1849;36931;0;0;0;0;0;0;0;0
21-May-2020;240528;36275;9293;1725;38065;38125;0;0;0;0;0;0;0
22-May-2020;242582;36498;9184;1315;39207;0;0;0;0;0;0;0;0
23-May-2020;244111;36718;8814;886;40356;0;0;0;0;0;0;0;0
24-May-2020;245474;36914;8814;776;41507;0;0;0;0;0;0;0;0
25-May-2020;247091;37115;8836;1015;42668;0;0;0;0;0;0;0;0
26-May-2020;248745;37328;8732;956;43829;0;0;0;0;0;0;0;0
27-May-2020;250572;37524;8220;1115;44995;0;0;0;0;0;0;0;0
28-May-2020;252328;37741;7907;1054;46163;38750;0;0;0;0;0;0;0
29-May-2020;253854;37927;7586;912;47335;0;0;0;0;0;0;0;0
30-May-2020;254974;38090;7267;552;48522;0;0;0;0;0;0;0;0
31-May-2020;256058;38216;7237;556;49712;0;0;0;0;0;0;0;0
01-Jun-2020;257495;38351;7247;833;50933;0;0;0;0;0;0;0;0
02-Jun-2020;258982;38519;7085;819;52157;0;0;0;0;0;0;0;0
03-Jun-2020;260341;38674;6813;726;53369;0;0;0;0;0;0;0;0
04-Jun-2020;261592;38808;6574;686;54588;39235;0;0;0;0;0;0;0
05-Jun-2020;262712;38931;6373;645;55816;0;0;0;0;0;0;0;0
06-Jun-2020;263519;39041;6143;401;57046;0;0;0;0;0;0;0;0
07-Jun-2020;264239;39169;5938;312;58285;0;0;0;0;0;0;0;0
08-Jun-2020;265336;39294;5926;685;59540;0;0;0;0;0;0;0;0
09-Jun-2020;266490;39384;5731;662;60797;0;0;0;0;0;0;0;0
10-Jun-2020;267678;39493;5471;676;62066;0;0;0;0;0;0;0;0
11-Jun-2020;268688;39573;5180;564;63344;39631;0;0;0;0;0;0;0
12-Jun-2020;269743;39653;5090;663;64626;0;0;0;0;0;0;0;0
13-Jun-2020;270633;39715;4941;505;65909;0;0;0;0;0;0;0;0
14-Jun-2020;271453;39801;4908;456;67192;0;0;0;0;0;0;0;0
15-Jun-2020;272497;39871;4870;604;68476;0;0;0;0;0;0;0;0
16-Jun-2020;273600;39955;4863;648;69769;0;0;0;0;0;0;0;0
17-Jun-2020;274611;40014;4719;579;71073;0;0;0;0;0;0;0;0
18-Jun-2020;275637;40075;4560;623;72386;39943;0;0;0;0;0;0;0
19-Jun-2020;276629;40127;4414;656;73705;0;0;0;0;0;0;0;0
20-Jun-2020;277316;40187;4252;430;75024;0;0;0;0;0;0;0;0
21-Jun-2020;277955;40241;4222;351;76343;0;0;0;0;0;0;0;0
22-Jun-2020;278852;40305;4281;503;77665;0;0;0;0;0;0;0;0
23-Jun-2020;279737;40369;4134;522;78995;0;0;0;0;0;0;0;0
24-Jun-2020;280515;40443;4030;410;80340;0;0;0;0;0;0;0;0
25-Jun-2020;281236;40511;3850;397;81701;40267;0;0;0;0;0;0;0
26-Jun-2020;281906;40552;3620;330;83064;0;0;0;0;0;0;0;0
27-Jun-2020;282558;40601;3544;365;84428;0;0;0;0;0;0;0;0
28-Jun-2020;283006;40646;3557;240;85792;0;0;0;0;0;0;0;0
29-Jun-2020;283734;40685;3748;508;87160;0;0;0;0;0;0;0;0
30-Jun-2020;284352;40732;3383;323;88530;0;0;0;0;0;0;0;0
01-Jul-2020;285009;40759;3198;388;89902;40458;0;0;0;0;0;0;0
02-Jul-2020;285618;40802;3079;392;91275;0;0;0;0;0;0;0;0
03-Jul-2020;286194;40831;2942;362;92650;0;0;0;0;0;0;0;0
04-Jul-2020;286596;40864;2801;200;94025;0;0;0;0;0;0;0;0
05-Jul-2020;287152;40891;2741;360;95400;0;0;0;0;0;0;0;0
06-Jul-2020;287863;40926;2699;507;96775;0;0;0;0;0;0;0;0
07-Jul-2020;288467;40953;2598;390;98150;0;0;0;0;0;0;0;0
08-Jul-2020;289171;40977;2454;496;99528;40635;0;0;0;0;0;0;0
09-Jul-2020;289889;41014;2344;505;100906;0;0;0;0;0;0;0;0
10-Jul-2020;290459;41035;2243;394;102284;0;0;0;0;0;0;0;0
11-Jul-2020;290908;41056;2118;272;103662;0;0;0;0;0;0;0;0
12-Jul-2020;291276;41069;2100;254;105040;0;0;0;0;0;0;0;0
13-Jul-2020;292009;41093;2112;544;106424;0;0;0;0;0;0;0;0
14-Jul-2020;292699;41114;1993;505;107809;0;0;0;0;0;0;0;0
15-Jul-2020;293471;41134;1974;606;109195;40779;0;0;0;0;0;0;0
16-Jul-2020;294176;41147;1829;539;110598;0;0;0;0;0;0;0;0
17-Jul-2020;294756;41165;1804;436;112001;0;0;0;0;0;0;0;0
18-Jul-2020;295255;41179;1776;394;113414;0;0;0;0;0;0;0;0
19-Jul-2020;295699;41193;1742;318;114827;0;0;0;0;0;0;0;0
20-Jul-2020;296511;41205;1734;682;116240;0;0;0;0;0;0;0;0
21-Jul-2020;297293;41225;1634;656;117654;0;0;0;0;0;0;0;0
22-Jul-2020;298092;41242;1747;641;119070;40927;0;0;0;0;0;0;0
23-Jul-2020;298890;41258;1538;598;120495;0;0;0;0;0;0;0;0
24-Jul-2020;299662;41265;1453;614;121920;0;0;0;0;0;0;0;0
25-Jul-2020;300185;41281;1400;404;123347;0;0;0;0;0;0;0;0
26-Jul-2020;300743;41297;1382;449;124781;0;0;0;0;0;0;0;0
27-Jul-2020;301599;41308;1369;726;126218;0;0;0;0;0;0;0;0
28-Jul-2020;302441;41320;1368;723;127656;0;0;0;0;0;0;0;0
29-Jul-2020;303478;41332;1349;905;129094;41050;0;0;0;0;0;0;0
30-Jul-2020;304402;41342;1313;792;130532;0;0;0;0;0;0;0;0
31-Jul-2020;305078;41356;1265;562;131971;0;0;0;0;0;0;0;0
01-Aug-2020;305621;41367;1289;415;133412;0;0;0;0;0;0;0;0
02-Aug-2020;306175;41377;1253;461;134856;0;0;0;0;0;0;0;0
03-Aug-2020;307215;41392;1250;930;136301;0;0;0;0;0;0;0;0
04-Aug-2020;308235;41406;1215;893;137746;0;0;0;0;0;0;0;0
05-Aug-2020;309293;41412;1199;918;139192;41180;0;0;0;0;0;0;0
06-Aug-2020;310376;41421;1154;982;140639;0;0;0;0;0;0;0;0
07-Aug-2020;311319;41433;1093;826;142086;0;0;0;0;0;0;0;0
08-Aug-2020;312014;41447;1026;554;143535;0;0;0;0;0;0;0;0
09-Aug-2020;312630;41455;982;510;144986;0;0;0;0;0;0;0;0
10-Aug-2020;314100;41468;1086;1384;146449;0;0;0;0;0;0;0;0
11-Aug-2020;315440;41478;1038;1226;147913;0;0;0;0;0;0;0;0
12-Aug-2020;316647;41485;1003;1106;149385;41342;0;0;0;0;0;0;0
13-Aug-2020;317794;41494;1007;1017;150864;0;0;0;0;0;0;0;0
14-Aug-2020;318956;41501;994;1060;152345;0;0;0;0;0;0;0;0
15-Aug-2020;319651;41513;973;596;153831;0;0;0;0;0;0;0;0
16-Aug-2020;320252;41517;978;521;155317;0;0;0;0;0;0;0;0
17-Aug-2020;321536;41529;981;1188;156807;0;0;0;0;0;0;0;0
18-Aug-2020;322620;41538;952;954;158300;0;0;0;0;0;0;0;0
19-Aug-2020;323860;41541;924;1125;159795;41459;0;0;0;0;0;0;0
20-Aug-2020;325322;41549;909;1364;161339;0;0;0;0;0;0;0;0
21-Aug-2020;326522;41556;888;1091;162883;0;0;0;0;0;0;0;0
22-Aug-2020;327348;41564;942;754;164430;0;0;0;0;0;0;0;0
23-Aug-2020;328174;41578;869;752;165977;0;0;0;0;0;0;0;0
24-Aug-2020;329445;41584;875;1180;167527;0;0;0;0;0;0;0;0
25-Aug-2020;330693;41596;843;1127;169078;0;0;0;0;0;0;0;0
26-Aug-2020;332042;41607;828;1217;170629;41624;0;0;0;0;0;0;0
27-Aug-2020;333592;41615;839;1398;172193;0;0;0;0;0;0;0;0
28-Aug-2020;335218;41625;817;1489;173808;0;0;0;0;0;0;0;0
29-Aug-2020;336440;41630;832;1112;175430;0;0;0;0;0;0;0;0
